iter	Logloss
0	0.6715309436
1	0.6494327107
2	0.6317848448
3	0.6171832627
4	0.6041210578
5	0.5918960739
6	0.5834370852
7	0.5759294501
8	0.5655392492
9	0.5594077476
10	0.5505316532
11	0.545488272
12	0.5385234963
13	0.5355691863
14	0.5311489224
15	0.5235175473
16	0.5173937029
17	0.512177294
18	0.5109730646
19	0.507847817
20	0.5051650869
21	0.5028679755
22	0.4984222009
23	0.4946486833
24	0.4913619567
25	0.4897055292
26	0.4887434178
27	0.4863209949
28	0.4848679108
29	0.4826372163
30	0.4807852644
31	0.4795528566
32	0.4782361556
33	0.4762711003
34	0.4755605057
35	0.472514124
36	0.4715079138
37	0.4701473893
38	0.4691307828
39	0.467553958
40	0.4665553714
41	0.4649447313
42	0.4639589001
43	0.46222165
44	0.4609617434
45	0.4604135238
46	0.4591414076
47	0.4577623692
48	0.4574439066
49	0.4558015927
50	0.4541551196
51	0.4532020901
52	0.4521941004
53	0.4507707334
54	0.450073483
55	0.4498201668
56	0.4496567495
57	0.4486952287
58	0.448245012
59	0.4475125549
60	0.4470263768
61	0.4466034031
62	0.4452846633
63	0.4444887754
64	0.4442269799
65	0.4436123055
66	0.4433679472
67	0.4432949806
68	0.4428402949
69	0.4425947238
70	0.4418318203
71	0.4412321655
72	0.4404600724
73	0.439669785
74	0.439466989
75	0.4386748926
76	0.4381704931
77	0.4379403568
78	0.437075527
79	0.4361141819
80	0.4358566734
81	0.4358442247
82	0.4355392448
83	0.4349382195
84	0.4343407288
85	0.4342858645
86	0.4339855267
87	0.4332553159
88	0.432623208
89	0.4320202678
90	0.4314865089
91	0.4312150355
92	0.431082699
93	0.430382913
94	0.4299420675
95	0.4291649798
96	0.4289898535
97	0.4289864336
98	0.4286310073
99	0.4281398397
100	0.4277700073
101	0.4274789179
102	0.4272135414
103	0.4267466305
104	0.4267318908
105	0.4266908121
106	0.4266603017
107	0.4259755387
108	0.4253284959
109	0.4249750508
110	0.4246731066
111	0.4244826669
112	0.4240045932
113	0.4235837438
114	0.4235526213
115	0.4232056493
116	0.4228293477
117	0.4228293451
118	0.4222357776
119	0.421599971
120	0.4210258194
121	0.4205696131
122	0.4203419502
123	0.4202037693
124	0.4195515829
125	0.4192308471
126	0.418910982
127	0.4182259947
128	0.4178556928
129	0.4172510733
130	0.4171163432
131	0.4165129115
132	0.4160691305
133	0.4155128434
134	0.4149737484
135	0.4144616445
136	0.4144476432
137	0.4144353392
138	0.413878231
139	0.4136139865
140	0.4130963848
141	0.4127390233
142	0.4125667253
143	0.4118523818
144	0.4115816188
145	0.4111508849
146	0.4108757034
147	0.4102108922
148	0.4095866233
149	0.4094936624
150	0.4092173006
151	0.4090303252
152	0.4087223799
153	0.4082434315
154	0.4081967074
155	0.4077671377
156	0.4070827285
157	0.4065275573
158	0.4058724173
159	0.4053572538
160	0.4051261826
161	0.4042509796
162	0.4038262465
163	0.4037850812
164	0.4037454712
165	0.4032768588
166	0.4028137723
167	0.4024772662
168	0.4019400596
169	0.4015401448
170	0.4010366401
171	0.4003992076
172	0.4000269426
173	0.3999620198
174	0.3990120544
175	0.3987967546
176	0.3984516546
177	0.3981326851
