iter	Passed	Remaining
0	7	15363
1	17	17438
2	21	14485
3	27	13482
4	32	13128
5	39	12975
6	48	13705
7	57	14432
8	66	14663
9	74	14808
10	82	14889
11	91	15209
12	100	15313
13	106	15061
14	112	14939
15	120	14993
16	128	14971
17	135	14918
18	141	14740
19	151	15012
20	157	14889
21	164	14746
22	170	14614
23	175	14444
24	182	14436
25	190	14496
26	197	14453
27	204	14371
28	211	14400
29	216	14248
30	226	14415
31	238	14656
32	244	14563
33	251	14527
34	259	14544
35	264	14455
36	271	14408
37	277	14307
38	282	14190
39	287	14072
40	291	13948
41	297	13852
42	304	13843
43	310	13820
44	316	13767
45	325	13837
46	332	13799
47	338	13754
48	343	13662
49	349	13639
50	355	13585
51	360	13518
52	367	13490
53	373	13442
54	378	13368
55	382	13263
56	386	13170
57	390	13091
58	394	12991
59	401	12980
60	407	12938
61	413	12923
62	419	12911
63	425	12868
64	430	12813
65	435	12767
66	441	12736
67	444	12637
68	448	12554
69	454	12518
70	459	12475
71	463	12423
72	470	12426
73	475	12381
74	478	12289
75	485	12295
76	490	12256
77	494	12194
78	501	12188
79	507	12171
80	511	12122
81	515	12048
82	521	12043
83	526	12019
84	531	11980
85	535	11921
86	541	11903
87	546	11869
88	550	11825
89	555	11795
90	561	11786
91	566	11751
92	573	11750
93	577	11712
94	582	11675
95	587	11656
96	592	11621
97	595	11564
98	602	11574
99	607	11548
100	613	11538
101	618	11509
102	623	11478
103	630	11499
104	633	11441
105	636	11380
106	641	11356
107	647	11337
108	652	11315
109	657	11292
110	661	11263
111	666	11234
112	672	11233
113	677	11205
114	680	11161
115	688	11184
116	694	11174
117	697	11122
118	702	11104
119	707	11084
120	712	11068
121	717	11044
122	722	11032
123	727	11009
124	732	10981
125	737	10966
126	744	10972
127	748	10950
128	752	10920
129	758	10905
130	762	10876
131	766	10852
132	775	10882
133	779	10859
134	786	10865
135	791	10847
136	794	10807
137	798	10772
138	803	10762
139	808	10740
140	814	10740
141	819	10724
142	824	10706
143	830	10704
144	835	10684
145	841	10686
146	847	10677
147	852	10668
148	858	10662
149	862	10639
150	867	10620
151	873	10614
152	878	10605
153	884	10600
154	888	10580
155	900	10646
156	905	10625
157	909	10607
158	918	10631
159	923	10617
160	928	10606
161	933	10596
162	938	10579
163	942	10551
164	946	10521
165	950	10502
166	955	10491
167	962	10496
168	968	10489
169	973	10482
170	978	10468
171	983	10448
172	990	10457
173	994	10440
174	1003	10469
175	1009	10458
176	1014	10450
177	1020	10445
